"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1901990","regulation of mitotic cell cycle phase transition","8/19","345/18842",0.0231884057971014,22.9955758962624,13.1002200491358,7.38860796555763e-10,1.82213603929567e-07,1.82213603929567e-07,"ZWINT/UBE2C/CCNB1/CDK1/DLGAP5/RRM2/CENPF/CDC20",8
"GO:0044784","metaphase/anaphase transition of cell cycle","6/19","107/18842",0.0560747663551402,55.6084604033448,17.9973816669174,7.43728995630887e-10,1.82213603929567e-07,1.82213603929567e-07,"ZWINT/UBE2C/CCNB1/DLGAP5/CENPF/CDC20",6
"GO:1901989","positive regulation of cell cycle phase transition","6/19","110/18842",0.0545454545454545,54.0918660287081,17.7425734588638,8.79859352474115e-10,2.06942919701912e-07,2.06942919701912e-07,"UBE2C/CCNB1/CDK1/DLGAP5/RRM2/CDC20",6
"GO:0045931","positive regulation of mitotic cell cycle","6/19","117/18842",0.0512820512820513,50.8556005398111,17.1862182947327,1.27946634131339e-09,2.89356234112413e-07,2.89356234112413e-07,"UBE2C/CCNB1/CDK1/DLGAP5/RRM2/CDC20",6
"GO:0050000","chromosome localization","6/19","123/18842",0.0487804878048781,48.3748395378691,16.747243686143,1.73220167981618e-09,3.77235032493302e-07,3.77235032493302e-07,"ZWINT/CCNB1/NEK2/CDK1/DLGAP5/CENPF",6
"GO:0000086","G2/M transition of mitotic cell cycle","6/19","131/18842",0.0458015267175573,45.4206508638007,16.209007389472,2.53549131132906e-09,5.32453175379103e-07,5.32453175379103e-07,"CCNB1/NEK2/FOXM1/CDK1/MELK/CENPF",6
"GO:0090068","positive regulation of cell cycle process","7/19","252/18842",0.0277777777777778,27.546783625731,13.4789741272342,3.09462711914074e-09,6.27462326225778e-07,6.27462326225778e-07,"NUSAP1/UBE2C/CCNB1/CDK1/DLGAP5/RRM2/CDC20",7
"GO:0033047","regulation of mitotic sister chromatid segregation","5/19","65/18842",0.0769230769230769,76.2834008097166,19.3164430838235,4.67841717193649e-09,9.16969765699552e-07,9.16969765699552e-07,"ZWINT/CCNB1/CDK1/CENPF/CDC20",5
"GO:0044839","cell cycle G2/M phase transition","6/19","146/18842",0.0410958904109589,40.7541456380678,15.3203559863402,4.87447809355595e-09,9.24578425487387e-07,9.24578425487387e-07,"CCNB1/NEK2/FOXM1/CDK1/MELK/CENPF",6
"GO:1901987","regulation of cell cycle phase transition","8/19","459/18842",0.0174291938997821,17.2842563926155,11.2214876275278,6.97020911623201e-09,1.28077592510763e-06,1.28077592510763e-06,"ZWINT/UBE2C/CCNB1/CDK1/DLGAP5/RRM2/CENPF/CDC20",8
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","6/19","160/18842",0.0375,37.1881578947368,14.604918510963,8.45114469096676e-09,1.50584032675408e-06,1.50584032675408e-06,"NUSAP1/PRC1/CCNB1/KIF4A/CDK1/DLGAP5",6
"GO:0045787","positive regulation of cell cycle","7/19","312/18842",0.0224358974358974,22.2493252361673,12.0245569964279,1.35603981416632e-08,2.34515120802882e-06,2.34515120802882e-06,"NUSAP1/UBE2C/CCNB1/CDK1/DLGAP5/RRM2/CDC20",7
"GO:0007051","spindle organization","6/19","195/18842",0.0307692307692308,30.5133603238866,13.1618165868622,2.75943401779112e-08,4.63584914988908e-06,4.63584914988908e-06,"PRC1/CCNB1/NEK2/KIF4A/ASPM/DLGAP5",6
"GO:0051310","metaphase chromosome alignment","5/19","109/18842",0.0458715596330275,45.4901014002897,14.7998506267192,6.4388340307326e-08,1.05167622501966e-05,1.05167622501966e-05,"ZWINT/CCNB1/NEK2/CDK1/CENPF",5
