"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.1313131313131315","0.0","0.24205378973105132","1.0","2","8","false","ANXA1","9.5","0","2","0","0.898989898989899","false","0","ANXA1","0","0.6785714285714286"
"3.878787878787879","0.2183742183742184","0.2578125","0.2222222222222222","9","8","false","CXCL8","4.555555555555555","0","9","0","0.9071358748778103","false","0","CXCL8","6410","0.20202020202020202"
"3.313131313131313","0.48395519824091254","0.3018292682926829","0.13333333333333333","10","7","false","FN1","3.9","0","10","0","0.9253828608667318","false","0","FN1","15292","0.16363636363636364"
"1.0","0.0","1.0","0.0","1","1","false","APOD","1.0","0","1","0","1.0","false","0","APOD","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","APOL1","1.0","0","1","0","1.0","false","0","APOL1","0","0.0"
"4.101010101010101","6.11809169323084E-4","0.24384236453201968","0.8523809523809524","21","9","false","ASPM","20.571428571428573","0","21","0","0.8999674160964484","false","0","ASPM","62","0.6233766233766234"
"4.090909090909091","0.0035989203196995414","0.24444444444444444","0.7835497835497836","22","9","false","DLGAP5","19.954545454545453","0","22","0","0.9002932551319648","false","0","DLGAP5","470","0.6046831955922864"
"4.0606060606060606","0.0048430494240636465","0.24626865671641793","0.6366666666666667","25","9","false","CCNB1","18.36","0","25","0","0.9012707722385142","false","0","CCNB1","236","0.5563636363636364"
"4.101010101010101","0.0010405004761838402","0.24384236453201968","0.8285714285714286","21","9","false","MELK","20.142857142857142","0","21","0","0.8999674160964484","false","0","MELK","78","0.6103896103896104"
"4.1313131313131315","0.0011131725417439704","0.24205378973105132","0.8562091503267973","18","9","false","CDKN3","20.833333333333332","0","18","0","0.898989898989899","false","0","CDKN3","46","0.6313131313131313"
"4.161616161616162","0.0027185674217214107","0.24029126213592233","0.7142857142857143","15","9","false","SMC4","20.133333333333333","0","15","0","0.8980123818833496","false","0","SMC4","424","0.6101010101010101"
"4.1313131313131315","8.171356346990237E-4","0.24205378973105132","0.8496732026143791","18","9","false","FOXM1","21.055555555555557","0","18","0","0.898989898989899","false","0","FOXM1","54","0.6380471380471381"
"4.111111111111111","8.339386740747283E-4","0.24324324324324326","0.8578947368421053","20","9","false","UBE2C","20.75","0","20","0","0.899641577060932","false","0","UBE2C","56","0.6287878787878788"
"4.070707070707071","0.002487361524158061","0.2456575682382134","0.7065217391304348","24","9","false","RRM2","19.583333333333332","0","24","0","0.9009449332029976","false","0","RRM2","166","0.5934343434343434"
"4.090909090909091","0.0013825626147827754","0.24444444444444444","0.7922077922077922","22","9","false","CENPF","20.045454545454547","0","22","0","0.9002932551319648","false","0","CENPF","106","0.6074380165289256"
"4.181818181818182","4.90980422953212E-4","0.2391304347826087","0.8076923076923077","13","9","false","DTL","21.153846153846153","0","13","0","0.8973607038123168","false","0","DTL","32","0.6410256410256411"
"4.1313131313131315","3.8651824366110076E-5","0.24205378973105132","0.9803921568627451","18","9","false","NEK2","22.0","0","18","0","0.898989898989899","false","0","NEK2","6","0.6666666666666666"
"4.202020202020202","5.462791177076891E-4","0.23798076923076922","0.8545454545454545","11","9","false","CKS2","21.545454545454547","0","11","0","0.8967090257412839","false","0","CKS2","18","0.6528925619834711"
"4.111111111111111","9.83562007062316E-4","0.24324324324324326","0.8052631578947368","20","9","false","ZWINT","20.55","0","20","0","0.899641577060932","false","0","ZWINT","76","0.6227272727272727"
"4.101010101010101","0.0011842554591472336","0.24384236453201968","0.8095238095238095","21","9","false","PRC1","20.714285714285715","0","21","0","0.8999674160964484","false","0","PRC1","82","0.6277056277056277"
"4.101010101010101","6.11809169323084E-4","0.24384236453201968","0.8523809523809524","21","9","false","NUSAP1","20.571428571428573","0","21","0","0.8999674160964484","false","0","NUSAP1","62","0.6233766233766234"
"3.3333333333333335","0.4509486061820631","0.3","0.5118279569892473","31","8","false","CDK1","16.774193548387096","0","31","0","0.924731182795699","false","0","CDK1","14384","0.4650537634408602"
"4.121212121212121","1.8631560839353045E-4","0.2426470588235294","0.935672514619883","19","9","false","CEP55","21.473684210526315","0","19","0","0.8993157380254154","false","0","CEP55","22","0.6507177033492823"
"4.111111111111111","3.5298510097520617E-4","0.24324324324324326","0.8947368421052632","20","9","false","KIF4A","21.1","0","20","0","0.899641577060932","false","0","KIF4A","40","0.6393939393939394"
"4.05050505050505","0.0055507849648233085","0.2468827930174564","0.6153846153846154","26","9","false","CDC20","18.307692307692307","0","26","0","0.9015966112740306","false","0","CDC20","270","0.5547785547785548"
"4.101010101010101","8.558320787758017E-4","0.24384236453201968","0.8285714285714286","21","9","false","KIF20A","20.857142857142858","0","21","0","0.8999674160964484","false","0","KIF20A","72","0.6320346320346321"
"4.05050505050505","0.02510031111608106","0.2468827930174564","0.6369230769230769","26","9","false","TOP2A","18.46153846153846","0","26","0","0.9015966112740306","false","0","TOP2A","1042","0.5757211538461539"
"7.454545454545454","0.0","0.13414634146341464","1.0","2","12","false","BST2","3.5","0","2","0","0.7917888563049854","false","0","BST2","0","0.875"
"7.434343434343434","2.0614306328592042E-4","0.1345108695652174","0.6666666666666666","3","12","false","IFI6","3.0","0","3","0","0.7924405343760184","false","0","IFI6","4","0.6"
"6.474747474747475","0.07854050711193568","0.15444617784711387","0.3333333333333333","4","11","false","ISG15","2.5","0","4","0","0.8233952427500815","false","0","ISG15","3124","0.45"
"4.2727272727272725","0.0","0.23404255319148937","1.0","6","9","false","CDC25B","23.833333333333332","0","6","0","0.8944281524926686","false","0","CDC25B","0","0.7688172043010753"
"4.222222222222222","0.0022148257615171646","0.23684210526315788","0.6666666666666666","10","9","false","GINS1","18.5","0","10","0","0.8960573476702509","false","0","GINS1","392","0.578125"
"4.242424242424242","1.9036999556480076E-4","0.23571428571428574","0.7857142857142857","8","9","false","CDC7","18.125","0","8","0","0.895405669599218","false","0","CDC7","12","0.56640625"
"4.262626262626263","1.716297170842625E-4","0.23459715639810425","0.6666666666666666","6","9","false","CDKN2A","18.333333333333332","0","6","0","0.894753991528185","false","0","CDKN2A","10","0.5729166666666666"
"4.171717171717172","0.0030292544671023333","0.23970944309927358","0.6373626373626373","14","9","false","MCM6","17.357142857142858","0","14","0","0.8976865428478331","false","0","MCM6","438","0.525974025974026"
"4.161616161616162","0.003936930931365068","0.24029126213592233","0.5523809523809524","15","9","false","MCM5","16.066666666666666","0","15","0","0.8980123818833496","false","0","MCM5","468","0.4868686868686869"
"4.262626262626263","1.6147873290730432E-4","0.23459715639810425","0.8","6","9","false","GMNN","18.333333333333332","0","6","0","0.894753991528185","false","0","GMNN","6","0.5729166666666666"
"4.191919191919192","0.0033462128700223934","0.23855421686746986","0.5512820512820513","13","9","false","MCM2","15.153846153846153","0","13","0","0.8970348647768003","false","0","MCM2","432","0.4735576923076923"
"4.161616161616162","0.0031344254133369776","0.24029126213592233","0.6285714285714286","15","9","false","RFC4","17.733333333333334","0","15","0","0.8980123818833496","false","0","RFC4","448","0.5373737373737374"
"2.98989898989899","0.6796536796536796","0.33445945945945943","0.1","5","7","false","GJA1","10.0","0","5","0","0.9358097100032584","false","0","GJA1","26118","0.2186046511627907"
"1.0","0.0","1.0","0.0","1","1","false","CLCA2","1.0","0","1","0","1.0","false","0","CLCA2","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","CLCA4","1.0","0","1","0","1.0","false","0","CLCA4","0","0.0"
"5.505050505050505","1.7178588607160032E-4","0.18165137614678897","0.0","2","11","false","CRCT1","6.0","0","2","0","0.8546757901596611","false","0","CRCT1","4","0.5555555555555556"
"5.444444444444445","0.011450510940306857","0.18367346938775508","0.0","4","11","false","CRNN","4.75","0","4","0","0.85663082437276","false","0","CRNN","496","0.3409090909090909"
"4.565656565656566","0.022356215213358","0.21902654867256638","0.6071428571428571","8","10","false","SPRR1A","9.75","0","8","0","0.8849788204626914","false","0","SPRR1A","802","0.41847826086956524"
"6.414141414141414","2.2332165189308044E-4","0.1559055118110236","0.0","2","12","false","KRT4","3.0","0","2","0","0.8253502769631802","false","0","KRT4","6","0.6666666666666666"
"4.525252525252525","0.06184856337917563","0.22098214285714288","0.45454545454545453","11","10","false","SPRR3","8.272727272727273","0","11","0","0.8862821766047573","false","0","SPRR3","2456","0.35177865612648224"
"5.343434343434343","0.002610654651470978","0.18714555765595464","0.3333333333333333","4","11","false","TGM3","9.0","0","4","0","0.8598892147279245","false","0","TGM3","92","0.4605263157894737"
"1.0","0.0","1.0","0.0","1","1","false","CRYAB","1.0","0","1","0","1.0","false","0","CRYAB","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","HSPB8","1.0","0","1","0","1.0","false","0","HSPB8","0","0.0"
"5.444444444444445","0.0","0.18367346938775508","1.0","2","11","false","CST6","9.5","0","2","0","0.85663082437276","false","0","CST6","0","0.59375"
"4.484848484848484","0.05448115754238203","0.222972972972973","0.3523809523809524","15","10","false","LOR","7.2","0","15","0","0.8875855327468231","false","0","LOR","3790","0.288"
"5.313131313131313","3.4357177214320065E-5","0.188212927756654","0.9333333333333333","6","11","false","CSTA","11.166666666666666","0","6","0","0.8608667318344737","false","0","CSTA","2","0.5317460317460317"
"4.565656565656566","0.005396040089917631","0.21902654867256638","0.6428571428571429","8","10","false","TGM1","9.875","0","8","0","0.8849788204626914","false","0","TGM1","736","0.4114583333333333"
"4.595959595959596","0.002109776089367926","0.2175824175824176","0.8","6","10","false","PI3","11.0","0","6","0","0.8840013033561421","false","0","PI3","360","0.4782608695652174"
"4.474747474747475","0.0628250434372883","0.22347629796839727","0.4090909090909091","12","10","false","SPRR1B","7.916666666666667","0","12","0","0.8879113717823396","false","0","SPRR1B","3470","0.29012345679012347"
"4.444444444444445","0.08861403147117419","0.22499999999999998","0.3619047619047619","15","10","false","IVL","7.466666666666667","0","15","0","0.888888888888889","false","0","IVL","6688","0.26666666666666666"
"4.767676767676767","0.0","0.20974576271186443","1.0","3","9","false","CXCL1","7.0","0","3","0","0.8784620397523624","false","0","CXCL1","0","0.5833333333333334"
"4.6767676767676765","0.13577956435099292","0.21382289416846653","0.23809523809523808","7","9","false","CXCL9","3.4285714285714284","0","7","0","0.8813945910720105","false","0","CXCL9","5468","0.2857142857142857"
"4.02020202020202","0.08407201264344119","0.24874371859296485","0.5","5","8","false","CXCL12","6.2","0","5","0","0.9025741283805799","false","0","CXCL12","3708","0.36470588235294116"
"4.91919191919192","0.0","0.2032854209445585","1.0","2","9","false","CXCL14","6.0","0","2","0","0.8735744542196154","false","0","CXCL14","0","0.75"
